,Rest_id,name,rate,phone,location,rest_type,reviews_list,Mean Rating,Ro Rating,scaled_sentiment,final_score
548,548,Melt,4.0,"+91 8041656568
+91 8095495497",BTM,Casual Dining,"[('Rated 5.0', ""RATED\n  Whenever I visit Bangalore this is like the one place I'll make a quick stop at. I asked my friend once to take me to a place with classy food, and I think he did a very good job. The food is delicious and is presented in a great way. I can't really judge the price but I definitely did not mind the rates. When I saw the place from outside I was a bit skeptical about it but once inside I really liked the ambience and the food. I recommend this place to everyone ?"")]",3.84,"{'roberta_neg': 0.003088954, 'roberta_neu': 0.022359286, 'roberta_pos': 0.97455174}",5.0,4.67
2365,2365,Sreeraj Lassi Bar,4.0,"+91 9663369936
+91 9880612346",BTM,Beverage Shop,"[('Rated 4.0', 'RATED\n  Amazing place to eat deserts but it\'s a little costly.\nIce cream with jelly is a must try here!!!!\nAlso, do not try those ""special"" shakes, they are not worth it ..'), ('Rated 4.0', 'RATED\n  My all time order here is the chocolate cone ice-cream and the delight ice-cream. They are truly a 20 rupee treat.\nTheir juices and shakes are also very good. Everything is fresh and served quickly. A place that serves refreshments is a place that is always welcome.')]",3.78,"{'roberta_neg': 0.008430336, 'roberta_neu': 0.0357197, 'roberta_pos': 0.95584995}",5.0,4.67
2938,2938,Bob'S Restaurant,4.0,"080 41161228
+91 7349084147",Jeevan Bhima Nagar,Quick Bites,"[('Rated 5.0', ""RATED\n  Highly recommend their mutton keema, bhindi fry, aloo gobhi, dal tadka and homely phulkas!\n\nThe best dhaba style food you'd find in Bangalore!""), ('Rated 4.0', ""RATED\n  I have never been to this place but in the recent past I have ordered rice and mutton keema from this place. Quantity wise it's decent. Taste wise it was good as well."")]",3.84,"{'roberta_neg': 0.0019149268, 'roberta_neu': 0.020036547, 'roberta_pos': 0.97804856}",5.0,4.67
2386,2386,Krispy Kreme,4.0,080 41718398,Jayanagar,Dessert Parlor,"[('Rated 3.0', 'RATED\n  Had original glazed donuts and for some reason it tasted different and was quiet oily. This wasnÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99t the case when I had them at the outlet in the New Delhi Airport (T3). Service was good and plenty of place to sit and eat at your own leisure.'), ('Rated 4.0', 'RATED\n  We ordered the chocolate dream donut! It was really really good!\nIt had a lot of chocolate syrup within and was not very sugar sugar.\nThe packaging was also done quiet well :)')]",3.88,"{'roberta_neg': 0.003884295, 'roberta_neu': 0.048190467, 'roberta_pos': 0.9479252}",5.0,4.67
3298,3298,Crunchie Corner,4.0,+91 9538381716,Brookefield,Quick Bites,"[('Rated 4.0', 'RATED\n  The best place for a quick bite. I liked the waffles and ice cream and the sandwich as well.they have outdoor sitting and indoor sitting as well.'), ('Rated 3.0', 'RATED\n  I had ordered the Red velvet waffle. The waffle tasted nowhere like red velvet, it just had the red colour to it.\nOther than that, the waffle was crisp. Loved the dark and white chocolate on the waffle!'), ('Rated 5.0', 'RATED\n  This is my favourite waffle and desert place. Lots of different concept waffles are available here. Red velvet waffle is the best one I found. Joy sticks is a must try waffle. Such a cool place for hangout with lots of yummy deserts.'), ('Rated 4.0', 'RATED\n  This is based on some 4 home delivery orders. Quality has been consistently good. I see this as a good option when you have the odd craving for waffle. I am a fan of their nutty joystick. My partner have tried out the waffle ice cream combos like Chefs Nutty Apple and found it to be good. Nice presentation even for the parcels.'), ('Rated 4.0', 'RATED\n  A really cool space. The snacks are quite cheap and tasty. The pizza was loaded with cheese and veggies. Ordered one waffle aloo tikki burger as well which was really tasty. The green apple drink served with it was refreshing as well. A must visit place if you want to have some quick and tasty bites.')]",3.84,"{'roberta_neg': 0.0019560636, 'roberta_neu': 0.015981723, 'roberta_pos': 0.98206216}",5.0,4.67
252,252,Hotel Fanoos,4.0,"+91 8892322814
+91 9113292702",Richmond Road,Quick Bites,"[('Rated 4.0', 'RATED\n  Fanoos- since the 1950?s!! So cool no... ?\nFor me, Fanoos round 1 happened during the early 1990?s (I was in school then)!\nGrew up eating Fanoos rolls, Biryani n kababs. ?\n\nWell, today, I ate\n- Chicken Kababs\n- Fanoos Special Chicken roll (friend chicken mince wrapped in a roomali roti, with some masala n onion)\n- Ghee rice\n\nThey were all good. Old school Bangalorean will love Fanoos, always. The one next to Johnson market is super iconic. Cheers'), ('Rated 2.0', 'RATED\n  Went for a quick bite - - - - small joint but nothing fascinated me there - tried almost everything but nothing had a wow factor need to improve on there menu and quality of meat they providing....\n\nAmbience 3/5\nService 2.5/5\nQuality 1/5\n\nOverall 2.5/5'), ('Rated 3.0', 'RATED\n  Pretty decent place with value for money sheek.. But.. it can b improved a lot..! Come on jus Bcos u r famous doesn\'t mean u can b lethargic. The shawarma was okay n d sheek was good but d service was pretty bad. And d ""restaurant"" next door has no one to take ur order nor clean up d place.. great opportunity to run it better but management doesn\'t care I guess..')]",3.84,"{'roberta_neg': 0.021354556, 'roberta_neu': 0.09704085, 'roberta_pos': 0.8816046}",5.0,4.67
166,166,Shree Venkateshwara North Karnataka Hotel,4.0,+91 8971951073,Basavanagudi,Quick Bites,"[('Rated 5.0', ""RATED\n  This place is awesome and affordable,\nIt's my favorite place, I am visiting this place since a very long time and never had a problem here with either quality or service, it's a pocket friendly place, very soft rotis and amazing gravy, the only problem is after Diwali or dusera it closes for a month or two months every year as staff go for hometown, these times I feel very difficult for sourcing a good place like this hotel which serves quality food without adding SODA especially\n\n5out5"")]",3.84,"{'roberta_neg': 0.023342922, 'roberta_neu': 0.068425626, 'roberta_pos': 0.90823144}",5.0,4.67
3022,3022,Sai Shakti,4.0,080 23360356,Malleshwaram,Quick Bites,"[('Rated 4.0', 'RATED\n  If u really want to have filling lunch or dinner this is the perfect place they serve u chapaties and varities of graves and most important thing the pricing is very very down to the earth really any one can afford with the capacity of around 50 seating located in 8th cross malleshwaram')]",3.84,"{'roberta_neg': 0.0039675497, 'roberta_neu': 0.06252145, 'roberta_pos': 0.93351096}",5.0,4.67
111,111,Shuddh Desi Khana,4.0,080 49653152,Bannerghatta Road,Quick Bites,"[('Rated 5.0', 'RATED\n  I have ordered a lot of times from this place and the taste or quality was never dissapointing. Their Dal Kichdi is one of my favourite choices from this place. The quantity is good for the price')]",3.92,"{'roberta_neg': 0.0023657002, 'roberta_neu': 0.021279711, 'roberta_pos': 0.97635454}",5.0,4.67
1157,1157,Melting Spot,4.0,"+91 9742061338
+91 9844188265",Indiranagar,"Cafe, Dessert Parlor","[('Rated 4.0', 'RATED\n  Quick Bites Spot....\n\nThis spot serves most of quick bites like...\n??Indian Chats\n??Nachos with Dips\n?? Pizzas\n?? Sandwiches\nWith hot and cold combination like, Mojito, coffees, live icecream fusions and desserts...\n\nAmbience 4/5\nFood 3.5/5\nService 4/5\n\nThey open until 12am on weekdays and 1am on weekends and thats their ?'), ('Rated 3.0', ""RATED\n  I had heard about this place. With an appetite for some calories I ordered the sev Puri and a chocolate chips maniac rolled ice cream. It's a weird combination but the sev Puri was perfect. The tangy tamarind chutney and the sweetness from the pomogrenate seeds. I must say the ice cream was a little too sweet for me but there were lots of choco chips to hog on. I would love to visit whenever I have a Chaat obsession and desire. It's very pocket friendly and service is fast. The seating area was clean and nice."")]",3.84,"{'roberta_neg': 0.003857871, 'roberta_neu': 0.045699243, 'roberta_pos': 0.9504429}",5.0,4.67
2956,2956,Big Mummy,4.0,+91 7829778797,Indiranagar,Quick Bites,"[('Rated 4.0', ""RATED\n  Do try aloo parata and paneer parata here. Amazing food. Don't miss the chole bature in weekends. Very small place but food is worth the wait. Not sure of the burger and other food. The rice varieties are good too, bowl good for 1 person only. A difficult to find and a little expensive, but taste is amazing."")]",3.75,"{'roberta_neg': 0.0052610007, 'roberta_neu': 0.026217598, 'roberta_pos': 0.9685214}",5.0,4.67
3174,3174,Aqua - The Park Bangalore,4.0,"+91 9035808038
+91 9049882302",MG Road,"Lounge, Bar","[('Rated 5.0', 'RATED\n  Had been here for dessert,\nNice place to hangout with friends\nCozy ambience good service\n\nI had choco mudpie - loved it they have maintained the richness in the flavour\n\nAmbience - 4.5/5\nTasteometer - 5/5\nService - 4/5')]",3.84,"{'roberta_neg': 0.0020246382, 'roberta_neu': 0.014661584, 'roberta_pos': 0.98331386}",5.0,4.67
426,426,Marigold Fine Dine Restaurant,4.0,"+91 7899827277
080 61329696",Whitefield,Casual Dining,"[('Rated 4.0', 'RATED\n  Being just a few steps away from the place where we live this restaurant had always been missed out until one day when we decided to give it a try... It lies in a busy street no doubt but once you enter it does justice to being a fine dine restaurant. A pocket friendly menu and a good quantity food is what we loved.. We had a red snapper fish for starter which was good and a lip smacking mutton rogan josh..\nDefinitely recommended:)'), ('Rated 4.0', 'RATED\n  Nice ambience..located at very busy junction...but parking should not be an issue... Good ambience and some really lip smacking food..... Especially dahi kebab was very good'), ('Rated 3.0', 'RATED\n  The restaurant is cozy and nice; with an outdoor and indoor seating .\nComing to the food itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s not an authentic Kerala cuisine( I thought it was Kerala cuisine) it has a very few limited options.\nwent with high hopes for Kerala food but that caused the disappointment.'), ('Rated 4.0', 'RATED\n  They do go with their name fine dining yes totally worth the name . Delicious food , service bang on . Friendly staff ,service was quick and chef even customised salad as per my taste which turned out really good')]",3.84,"{'roberta_neg': 0.015708096, 'roberta_neu': 0.089969076, 'roberta_pos': 0.8943229}",5.0,4.67
1093,1093,Kitchen On Table,4.0,+91 9343044750,Brigade Road,Casual Dining,"[('Rated 4.0', 'RATED\n  This restaurant was recommended by a friend to try out some authentic sea food for a different experience.\n\nDecided to go there, late afternoon on a Saturday & found the place surprisingly empty as it was almost 3pm & to our luck we were greeted by the head chef , who offered to cook our food.\n\nSince we were a bit clueless with the menu, he helped us decide some juicy salmon, mouth watering prawns & lip smacking shushi.\n\nJune (head chef) also entertained us whi li e he was prepping food in front of us , with some of his card tricks.\n\nDefinitely loved the food here & would go back ith friends , the only cons were the parking & the ambience could have been a bit better.'), ('Rated 5.0', 'RATED\n  Kitchen On Table located in brigade road is a must visit. The staffs, the chef and manager are so hospitable. I would definitely recommend everyone to visit this place. I rate this place a 5 because everything about this place is really impressive (especially the Chef :D). The food was top notch and ambience is excellent for all types of crowd. I would definitely visit Kitchen On Table coz yeh dil mange more! ?')]",4.07,"{'roberta_neg': 0.0020212901, 'roberta_neu': 0.014473985, 'roberta_pos': 0.9835048}",5.0,4.67
2001,2001,Sagar Fast Food,4.0,+91 9945937823,Koramangala 3rd Block,Quick Bites,"[('Rated 5.0', ""RATED\n  It's really delicious and worth ..\nSuper foods and quick response....\nLiked it ... specially recommend for Dosa and some other breakfast items ..""), ('Rated 4.0', 'RATED\n  When it comes to South Indian breakfast . Sagar is always our go to place for it. We absolutely love the crispness of the dosa and vadas here. Their cheese dosa is just amazing. We also love the paneer butter masala with roti . Absolutely amazing combo\nAlso their gajar ka halwa and gulab jamun is really good. The pricing is very cheap and definitely affordable'), ('Rated 4.0', ""RATED\n  Good vegetarian food, delivered fast. That's what Sagar Fast Food is about. Don't expect the healthiest food here though. Very decently priced. Ambience is of a mess."")]",3.71,"{'roberta_neg': 0.0024617822, 'roberta_neu': 0.011922927, 'roberta_pos': 0.98561525}",5.0,4.67
3066,3066,Samskruti - Sanman Gardenia,4.0,"080 26570711
+91 9663684499",Jayanagar,Casual Dining,"[('Rated 4.0', 'RATED\n  Enjoyed the buffet spread, reasonably priced with polite service.\nAla carte are very highly priced and hence I guess it works to go for the buffet option .'), ('Rated 5.0', 'RATED\n  Good Food & Good Service !!!\nI visited this place for a team lunch recently and the place is very welcoming.We were a team of 10 people and could get the seats easily.\nWe opted for the Buffet.The soup and starters were served at the table.The starters were very tasty.\nComing to the main course , they had a good spread of items.\nSalads, 3 different Gravies, Noodles, Pasta, Rice Items & Desserts.The Bread/Roti was served at the table and it was very fresh and soft.\nThe Desserts were yummy.\nOverall our complete team liked the food and would definitely come back again!!\n\nMust try place !!'), ('Rated 3.0', 'RATED\n  Had been to this place for dinner, the service and ambiance is good. Taste of the dishes are good. The quantity is very less for the rate they charge. Management needs to take a look at this. Soups, pulav and paneer dishes were too good.')]",3.87,"{'roberta_neg': 0.0026152085, 'roberta_neu': 0.021347627, 'roberta_pos': 0.97603714}",5.0,4.67
3287,3287,Artinci Artisanal Ice Cream,4.0,"+91 7338131444
+91 8660691998",Whitefield,Dessert Parlor,"[('Rated 5.0', 'RATED\n  Hot chocolate fudge is the one in chocolate and vanilla flavour, and the other one i ordered is quite opposite flavour of the first one but i liked that flavour alot and i was glad to order it which is the green tea.'), ('Rated 5.0', 'RATED\n  I was really bored of having all normal flavoured icecream like vanilla, chocolate, strawberry, butterscotch, watermelon etc and i wanted to try out something in icecream which i never had in my life so i ordered from this place the unique and awesome thandai icecream.'), ('Rated 5.0', 'RATED\n \nThe Hot Chocolate Fudge sundae has a most delicious dark chocolate fudge sauce. I learnt from watching ArtinciÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99s Sneak Peak video that it is made with real dark chocolate. It is thick when it arrives, so i microwaved it on low power, to make it warm and serveable. The fudge sauce is fantastic on its own and when poured over the vanilla ice cream that comes together in this sundae. However, they have only one sundae on their menu. This has to improve, guys at Artinci! Hope you are listening'), ('Rated 5.0', 'RATED\n  Artinci Artisanal Ice Cream is a Dessert Parlor delivering tasty ice cream to your doorstep.\n\nI tried classic Dark Chocolate. It is rich, bittersweet, lush and silky with an intense chocolate taste. This was the most delicious chocolate ice-cream I had in recent times.\n\nThey have many flavours to choose from. Do try out to your taste buds.')]",3.94,"{'roberta_neg': 0.009023182, 'roberta_neu': 0.08975862, 'roberta_pos': 0.90121824}",5.0,4.67
1421,1421,Kanti Sweets,4.0,"080 22960634
080 41744131",JP Nagar,Sweet Shop,"[('Rated 5.0', ""RATED\n  Kanti sweets is extremely close to my house. I've always loved their kaju Barfi and samosas. Their kachoris are not bad too. Extremely famous brand.""), ('Rated 4.0', 'RATED\n  I love Sohan papdi from here!! It?s so tasty ?\nIt?s best place for sweets!\nI shop here for every festival when I go my home!\nService is good and quick!'), ('Rated 3.0', 'RATED\n  Kanti sweets gets this rating only for its sweets and cookie sticks.. Those are definitely yummy.. But the chaats are a big let down.. Overtly sweet, this place is not for chaats.'), ('Rated 4.0', 'RATED\n  Amazing shop for any sweet tooth??. I order from here whenever I want to have good Indian desert or on any occasion. Everything is Pure and fresh.Savoury items are also nice. Jalebi and Ghewar are my favourites.'), ('Rated 4.0', 'RATED\n  Good place to buy heigenic sweets and snacks. Try Kaju burfi, it is simple and decent. Although the chats are a bit down and they need improvement.')]",3.78,"{'roberta_neg': 0.0036894896, 'roberta_neu': 0.021684032, 'roberta_pos': 0.9746265}",5.0,4.67
2355,2355,Aroma Fine Dine,4.0,"+91 9513888632
+91 9945845334",HSR,Casual Dining,"[('Rated 4.0', 'RATED\n  The food was very good. The Ambience was so nice and thanks to the service which even more escalated in experiencing the taste of food. Amazing. Cheers.'), ('Rated 3.0', ""RATED\n  Visited this place for dinner as it was quite near to BTM and located near silk board bus stand. This place has a very minimal ambience like any other normal local restaurants. Even the ac wasn't working and hence the fans were on. We ordered chicken biryani, murgh hariyali Tikka, chicken lollypop. Everything tasted good and the service was quick. Price was normal neitger expensive nor cheap."")]",3.84,"{'roberta_neg': 0.0034825164, 'roberta_neu': 0.017074538, 'roberta_pos': 0.979443}",5.0,4.67
617,617,Kanteen 038,4.0,"080 43750122
+91 9980878229",Indiranagar,Quick Bites,"[('Rated 3.0', 'RATED\n  Ordered in the following dishes from here:\n\n1. Maggi 038 - their signature Maggi with Chicken sausages. Rating : 4/5\nOn a day when I had a bad cough this hot portion of Maggi was just what I wanted and was quite yummy.\n\n2. Ghar Wala Nashta - rating 3/5\nThe Parantha was slightly burned and the aloo sabji lacked seasoning. :('), ('Rated 4.0', ""RATED\n  Tried their tea and English breakfast recently and found the rates quite reasonable. I mean the food isn't that flashy restaurant type but had decent taste to it and in terms of quantity, it's spot on.\n\nTheir menu options aren't too much to choose from and that's appropriate considering the idea behind this joint.\n\nAll in all, a great choice to go for anytime of the day..""), ('Rated 5.0', 'RATED\n  Missing the college canteen vibes ?\nWell , this is the place to go if you want to have some really great food along with those long lost conversations ! The Ambience is very nice surrounded by greenery from all the sides. The staff is polite.\n\nMy personal favorites are : Chai , Maggi 038 , Ghar Wala nashta and poha.'), ('Rated 4.0', 'RATED\n  Nothing to rave about. Nothing to complain about. Decent food. Average taste. Good packing. The equalent of "" One time watch"" in movie terms.'), ('Rated 4.0', ""RATED\n  ?? 59 RS for Veg Maggie that's actually with a good quantity and taste is Yayyy!!\nKanteen 038, where were you all this while?? Gotcha finally!"")]",3.77,"{'roberta_neg': 0.006050615, 'roberta_neu': 0.06058006, 'roberta_pos': 0.9333693}",5.0,4.67
2569,2569,The Biriyani Pedia,4.0,+91 9809202588,BTM,Quick Bites,"[('Rated 5.0', ""RATED\n  Quite easy on the pocket place and serves the authentic Malabar dishes! Must try items are their beef biryani,calicut biryani and chilli beef! Would love to visit the place again and again for some real malabari food! Kudos to the whole 'BIRYANI PEDIA' team! Ã\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x9dÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82ÃÂ¤Ã\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¯Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82ÃÂ¸Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x8f"")]",3.75,"{'roberta_neg': 0.002939737, 'roberta_neu': 0.042672817, 'roberta_pos': 0.9543875}",5.0,4.67
272,272,Le Rock,4.0,"+91 9900025048
080 41231001",Brigade Road,"Bar, Quick Bites","[('Rated 4.0', ""RATED\n  It's a huge place with good food and service. All staffs are very humble, the club ambiance is outstanding the food we had was delicious thank you""), ('Rated 3.0', 'RATED\n  Considering Bangalore and its prime location of brigade road, this place is very pocket friendly and the choices of food and drinks are plenty. Loud music and place is crowded on the weekends.'), ('Rated 3.0', 'RATED\n  A loud, dark and dingy place with great food and good cocktails. Go here for a standard ?good time? : a bit of booze, a bit of dance and a small bite\n\nLoved the pitcher of old monk cocktail and the fried chicken was crispy and flavourful'), ('Rated 5.0', 'RATED\n  I have been visited this place twice in a month here the food is good the way they serv6 and treat the customer is really very polite and quick serving !!! Tasty food . The ambience is good . Worthable and over all had very great experience!!!!'), ('Rated 4.0', ""RATED\n  The food was okay-ish! The ambience was good. The beer quality in the tower we ordered wasn't really good. I wish I had taken more pictures but, my bad. Anyway, the best thing is, this place is pocket friendly.""), ('Rated 4.0', 'RATED\n  Went here on a Saturday night. The ambience is great. Songs played by them will surely set you up in a great mood. The servers are courteous. Overall had a great experience here.'), ('Rated 5.0', 'RATED\n  Had been to this place thrice during my entire 12 days stay at residency road banglore. A cool place to hangout. Service is great and so is the ambience and the menu. Must try the cheese cherry pineapple here, which is served differently. Happy hours menu too is superb. Overall a cool place to hangout.'), ('Rated 4.0', 'RATED\n  Not something new in the street. They have been here for ages and they have been consistently a good place to hangout. Their food is upto the mark with their service. Overall great experience.')]",3.87,"{'roberta_neg': 0.0038596992, 'roberta_neu': 0.02468377, 'roberta_pos': 0.9714565}",5.0,4.67
1770,1770,Eatapita,4.0,+91 8880122199,Kammanahalli,Quick Bites,"[('Rated 2.0', ""RATED\n  A tiny spot in Kammanhalli that serves Pizza and Pita. The food is average, I ordered for a Shawarma, the meat was pre-cooked and heated in a sauce pan. Which I didn't think is a Shawarma. It was more a chicken roll.\n\nThe pizza was average. Maybe should try another one next time.""), ('Rated 5.0', ""RATED\n  Hands down one of my favorite places to get some nostalgia inducing Arabic food. It's got amazing lamb and cheese manakish which you'd be hard-pressed to find anywhere else and the halloumi is a nice departure from all the paneer I have on a regular basis""), ('Rated 5.0', 'RATED\n  I really loved the chicken tikka pizza..\nWorth the price.. 360 rupees for 12 inches pizza...\nPlace is small but the Ambience is good.\nHalal food.'), ('Rated 4.0', 'RATED\n  Absolutely delicious middle eastern food. Banging sauces!! I would definitely go back again. I loved their pizzas as well. The pricing is also very reasonable.'), ('Rated 4.0', 'RATED\n  Eatapita has some delicious food, loved the hummus, falafel and the chicken shawarma. I was not a huge fan of the pizza but it was decent. IÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92d definitely go back again and try some other stuff.')]",3.84,"{'roberta_neg': 0.0043679853, 'roberta_neu': 0.020320712, 'roberta_pos': 0.97531134}",5.0,4.67
3023,3023,Karavali Lunch Home,4.0,+91 9900561139,Malleshwaram,Quick Bites,"[('Rated 5.0', 'RATED\n  Best place to eat from if you are a Mangalorean cuisine lover. Best in Bangalore undoubtedly. A small yet amazing place. Sincere service and best priced menu makes you wanna try them all out. Signature dishes being Mackerel fry and Prawns masala. When had with neer dosa, the best meal ever.'), ('Rated 5.0', ""RATED\n  Tiny place\nAmazing food\nTotally value for money . ( Yes, it's extremely pocket friendly )\n\nWe went out for a dinner ..\n\nWe ordered\n\nPrawns sukka: in one word amazing . . brilliant infusion of coconut and spices for the gravy.\n\nChicken sukka : tasted great . Went well with rice and neer dosa.\n\nBangra and anjal fry . : Very well cooked .. tasted great .\n\nI'm going with 5/5.\n\nIt's a small place.. so ignore the ambience.\n\nPS: in Malleswaram .. don't miss it. .\n\n640 for 3 of us."")]",3.84,"{'roberta_neg': 0.002550051, 'roberta_neu': 0.032292657, 'roberta_pos': 0.96515733}",5.0,4.67
3206,3206,Mumbai Kulfi,4.0,+91 9535133012,HSR,Dessert Parlor,"[('Rated 4.0', 'RATED\n  went here on sunday evening they have awesome range of kulfis we had gulkand kulfi which was not available in stick so they have a slice, but they cut it so well and gave a toothpic with it that we did not have any problem in eating it. Also tried their paan kulfi which is also nice. Will try for more flavors in future.')]",3.84,"{'roberta_neg': 0.0017282802, 'roberta_neu': 0.016401485, 'roberta_pos': 0.9818702}",5.0,4.67
1156,1156,Shalimar,4.0,080 49652615,Indiranagar,Casual Dining,"[('Rated 4.0', ""RATED\n  Tried this joint for the first time yesterday and ordered chicken biryani. The serve one of the lightest preparations when it comes to biryani and that's by my experience. It was good and wasn't like the usual spicy stuff that one gets at most of the places around here. The quantity too was appropriate for a single person and isn't too much or less.\n\nIn the coming time, will try more from this restaurant.\n\nAll in all, it was a good experience."")]",3.84,"{'roberta_neg': 0.0015710851, 'roberta_neu': 0.023164043, 'roberta_pos': 0.97526485}",5.0,4.67
2167,2167,Jai Jinendra,4.0,"080 65655188
+91 9731555188",Koramangala 6th Block,Quick Bites,"[('Rated 4.0', ""RATED\n  Kota Kachori and ice cream and the taste is great. I give 2 thumbs up for this two items.. Try this because it's worth spending if you looking for the pure Rajasthani."")]",3.84,"{'roberta_neg': 0.0022915707, 'roberta_neu': 0.026907494, 'roberta_pos': 0.9708009}",5.0,4.67
2615,2615,Banbay,4.0,080 22285455,Vasanth Nagar,Cafe,"[('Rated 5.0', 'RATED\n  Happen to notice the place when I came to visit jain hospital. Very nice place,catchy interior, coming to food ,have ordered vegand mutton biryani were delicious. The starters mushroom pepper fry and chicken kur kure were really yum.in main course we also ordered chilly cheese paratha along with chicken curry (looked like butter chicken) . overall the food was really yum and would like to visit again to try more dishes.The staff was welcoming and their suggestions were worth tasting also the pricing seemed nominal.Good place to visit again.'), ('Rated 4.0', ""RATED\n  It's situated right opposite to the Jain hospital.banbay is definitely a place of fusion as they say.each and every food here on their menu is with a twist,even the simplest of their food is just unique and delicious to taste.we order chicken dosa,their signature dish potli biryani ,noodles,egg frittata , coffee ,mutton burger.it was just waoo every time you try their food.the chef gets the major credit.plus the attender their is so very good at his job.the Ambience is cute and colorful ND u'll definitely gonna enjoy being there.a must try!"")]",3.84,"{'roberta_neg': 0.002036793, 'roberta_neu': 0.015906287, 'roberta_pos': 0.98205686}",5.0,4.67
3284,3284,Chef Baker'S,4.0,"+91 7406066610
+91 7406066612",Brookefield,Bakery,"[('Rated 4.0', 'RATED\n  The cakes are delicious here...Moist,Airy and extremely flavourful!!\nPersonal favourites- Death by chocolate(must try), Brownie Fudge\nPricing is decent.'), ('Rated 5.0', 'RATED\n  I have been to this place for lunch. I loved this place. The ambience is just right. The food is delicious and well presented. The prices are quite reasonable for the quality of food.')]",3.43,"{'roberta_neg': 0.0020385808, 'roberta_neu': 0.007996799, 'roberta_pos': 0.98996466}",5.0,4.67
170,170,Golden Oak - La Marvella Sarovar Premiere Hotel,4.0,080 49653191,Jayanagar,Casual Dining,"[('Rated 4.0', 'RATED\n  Ambience -5/5    Food - 4/5  Service - 4/5  VFM - 4/5  Parking - Valet\n\nThe Golden Oak is the in house restaurant at the La Marvella Sarovar hotel at JP Nagar. The decor of the restaurant is grand and very elegant, lending to a beautiful and luxurious ambience.\nFood was served quickly and was very flavorful. And prices were quite reasonable for the quantity and quality of the for served.\nSurely recommmended.'), ('Rated 4.0', 'RATED\n  Beautiful ambiance, valet parking.. good food.. I recommend this place for family dining.. we loved dal makhni, Broccoli tikka, pulav and Biriyani..'), ('Rated 3.0', 'RATED\n  The restaurant has some great South Indian delicacies. The masala dosa with three varieties of chutney were nice. However sambar though good was given only after a few requests. Ambience is good and large as is expected from a star Hotel. The quantity was decent for the cost. The service is average thought. But I would recommend for the food.'), ('Rated 4.0', 'RATED\n  Delicious food, courteous and polite staff, lovely ambience are some of the things I can vouch for. Had celebrated my birthday here 6 years ago and it was superb!')]",3.77,"{'roberta_neg': 0.0020009528, 'roberta_neu': 0.026265018, 'roberta_pos': 0.97173405}",5.0,4.67
522,522,Hari Super Sandwich,4.0,"+91 9901117355
+91 9844417049",Jayanagar,Quick Bites,"[('Rated 4.0', 'RATED\n  There are very few outlets that serve only sandwiches. We wanted something not heavy. My cousin told me about Hari super sandwich! The sandwiches are super. The packaging could have been better. We ordered the American corn chocolate and the cheese sandwich dhai which is a must try.'), ('Rated 4.0', ""RATED\n  Favorite place for yummist sandwiches and chats. Not even bragging but you have to taste it to know for yourself. It's such a simple place but there's a reason why people go there in a group all the way.""), ('Rated 3.5', ""RATED\n  I love sandwiches from this place...A simple street food kinda place wch can satisfy your quick hunger quite quickly. .cs they do serve you fast.\nHave tried their aloo cheese chilli sandwich, chocolate sandwich, and cheese gulkand sandwich.\nAs people say the best, I don think it's the best. ..but not bad for sure.\nYes, I like aloo cheese sandwich.""), ('Rated 4.0', ""RATED\n  Got home delivered from here and I couldn't be happier. I could easily say, according to me this place serves one of the best sandwiches without a hole in the pocket. What a neat packing and taste. Unexpected !"")]",4.05,"{'roberta_neg': 0.008688064, 'roberta_neu': 0.04243783, 'roberta_pos': 0.9488741}",5.0,4.67
